,RollNumber,P1,P2,P3,P4,P5
0,101803002,13,14,14,0,0
1,101803003,13,0,0,0,0
2,101803004,13,13,15,0,0
3,101803005,0,14,15,0,0
4,101803006,15,0,0,15,0
5,101803008,13,14,13,0,0
6,101803010,14,13,15,0,0
7,101803011,13,0,13,0,0
8,101803013,15,15,14,0,0
9,101803017,13,15,13,0,0
10,101803019,13,15,14,0,0
11,101803020,15,15,14,0,0
12,101803022,15,15,15,0,0
13,101803023,15,14,13,0,0
14,101803025,14,13,15,0,0
15,101803029,15,15,13,0,0
16,101803035,13,15,14,0,0
17,101803036,13,15,13,0,0
18,101803042,13,15,14,0,0
19,101803043,14,15,13,0,0
20,101803045,13,14,15,0,0
21,101803047,13,0,0,0,0
22,101803048,14,13,13,0,0
23,101803049,13,0,14,0,0
24,101803051,13,13,14,0,0
25,101803059,0,0,0,15,0
26,101803061,13,13,15,0,0
27,101803064,0,15,14,0,0
28,101803065,14,13,13,0,0
29,101803075,14,13,0,14,0
30,101803084,15,15,13,0,0
31,101803089,0,14,0,0,0
32,101803095,14,15,14,0,0
33,101803097,15,0,15,0,0
34,101803099,0,15,15,0,0
35,101803100,14,14,15,0,0
36,101803102,14,15,14,0,0
37,101803103,14,15,15,0,0
38,101803104,13,13,15,0,0
39,101803106,14,13,13,0,0
40,101803108,14,13,13,0,0
41,101803109,14,14,15,0,0
42,101803111,14,0,14,0,0
43,101803112,15,15,13,0,0
44,101803115,0,13,15,0,0
45,101803116,15,0,0,14,0
46,101803118,15,14,13,0,0
47,101803121,14,15,13,0,0
48,101803122,15,15,15,0,0
49,101803123,13,14,15,0,0
50,101803126,13,13,15,0,0
51,101803128,0,0,0,13,14
52,101803132,14,13,13,0,0
53,101803135,14,13,13,0,0
54,101803137,0,15,15,0,0
55,101803138,13,14,15,0,0
56,101803139,13,0,0,0,0
57,101803141,14,0,14,0,0
58,101803142,13,14,15,0,0
59,101803143,15,15,13,0,0
60,101803146,0,0,0,15,15
61,101803147,14,15,15,0,0
62,101803149,13,13,0,0,0
63,101803151,0,13,0,0,0
64,101803152,15,15,14,0,0
65,101803154,0,13,13,0,0
66,101803156,0,14,0,0,0
67,101803157,15,13,14,0,0
68,101803158,15,15,14,0,0
69,101803159,15,0,14,0,0
70,101803162,0,0,0,15,0
71,101803163,15,14,15,0,0
72,101803165,15,15,15,0,0
73,101803166,0,0,0,0,14
74,101803167,14,15,0,14,0
75,101803169,14,14,13,0,0
76,101803170,14,15,13,0,0
77,101803171,13,0,15,0,0
78,101803173,0,0,0,15,13
79,101803174,14,0,0,0,0
80,101803175,0,15,13,15,0
81,101803176,14,13,14,0,0
82,101803178,0,0,0,14,14
83,101803184,13,15,0,0,0
84,101803185,13,14,14,0,0
85,101803189,0,14,0,13,0
86,101803190,15,14,15,0,0
87,101803191,0,13,13,0,0
88,101803192,0,0,0,13,13
89,101803193,0,15,14,0,0
90,101803201,14,0,13,0,0
91,101803202,13,13,15,0,0
92,101803206,0,14,15,0,0
93,101803207,13,15,15,0,0
94,101803209,0,15,13,0,0
95,101803213,13,13,15,0,0
96,101803214,14,15,15,0,0
